Energia_Cinetica   Energia_Depositada  Particula  Pos_Interaccion  
1  0.0536494 eV   0 eV   neutron  37.0342 cm -18.7806 cm -1 cm 
1  0.0410112 eV   0 eV   neutron  -14.4555 cm -30.1862 cm -1 cm 
1  0.0959889 eV   0 eV   neutron  -20.7876 cm 3.65681 cm -1 cm 
1  0.0773786 eV   0 eV   neutron  23.5076 cm -29.2137 cm -1 cm 
1  0.0953062 eV   0 eV   neutron  -39.6211 cm -35.0176 cm -1 cm 
1  0.0951779 eV   0.00763976 eV   neutron  39.8693 cm -14.138 cm -1.71408 mm 
1  0.0982182 eV   0 eV   neutron  38.2362 cm -14.3279 cm 1 cm 
1  0.037158 eV   0 eV   neutron  -43.7384 cm 11.6273 cm -1 cm 
1  0.0336085 eV   0 eV   neutron  43.3057 cm -19.1186 cm -1 cm 
1  0.0591431 eV   0 eV   neutron  41.8168 cm -38.7997 cm -1 cm 
1  0.0580433 eV   0 eV   neutron  12.0622 cm 7.45965 cm -1 cm 
1  0.0323515 eV   0 eV   neutron  -27.009 cm 17.8044 cm -1 cm 
1  0.0427525 eV   0 eV   neutron  -7.06175 cm -4.6784 cm -1 cm 
1  0.0218424 eV   0 eV   neutron  -4.74405 cm -42.4498 cm -1 cm 
1  0.0591548 eV   0 eV   neutron  -28.4993 cm 48.2679 cm -4.56903 mm 
1  238.05 eV   238.05 eV   Ar41  -28.4993 cm 48.2679 cm -4.56905 mm 
1  0 eV   0 eV   Ar41  -28.4993 cm 48.2679 cm -4.56905 mm 
1  3.08912 MeV  0 eV   gamma  -28.7041 cm 46.1252 cm 1 cm 
1  2.84229 MeV  0 eV   gamma  -33.6063 cm 49.7181 cm 1 cm 
1  167.294 keV  29.05 eV   gamma  -25.8774 cm 39.9086 cm 6.26249 mm 
1  1.29359 MeV  0 eV   gamma  -28.5236 cm 48.1099 cm -1 cm 
1  103.185 keV  562.86 eV   gamma  -25.0336 cm 40.6095 cm -4.92912 mm 
1  736.201 keV  0 eV   anti_nu_e  -30.3572 cm 49.1741 cm 1 cm 
1  0.0541287 eV   0 eV   neutron  -44.4583 cm 33.5715 cm -1 cm 
1  0.0186088 eV   0 eV   neutron  18.9043 cm 15.1836 cm -1 cm 
1  0.056521 eV   0 eV   neutron  -13.2321 cm -21.6985 cm -1 cm 
1  0.0271421 eV   0 eV   neutron  -29.0688 cm 18.7607 cm -1 cm 
1  0.0552263 eV   0 eV   neutron  22.4346 cm -34.2717 cm -1 cm 
1  0.036717 eV   0 eV   neutron  1.56447 cm -37.4639 cm -1 cm 
1  0.0199871 eV   0 eV   neutron  -3.43602 cm 24.9959 cm -1 cm 
1  0.0673795 eV   0 eV   neutron  3.95971 cm 45.3362 cm -1 cm 
1  0.0287787 eV   0 eV   neutron  -7.17679 cm -28.4905 cm -1 cm 
1  0.09161 eV   0 eV   neutron  31.8899 cm -28.0839 cm -1 cm 
1  0.0218818 eV   0 eV   neutron  47.3395 cm 42.4287 cm -1 cm 
1  0.0376735 eV   0 eV   neutron  17.3278 cm 24.2188 cm -1 cm 
1  0.0346606 eV   0 eV   neutron  28.18 cm 13.9095 cm -1 cm 
1  0.0367314 eV   0 eV   neutron  -19.8999 cm 12.5438 cm -1 cm 
1  0.0192861 eV   0 eV   neutron  -30.5446 cm 34.8884 cm -1 cm 
1  0.0396611 eV   0 eV   neutron  5.68706 cm 15.406 cm -1 cm 
1  0.0155693 eV   0 eV   neutron  23.2027 cm -2.37661 cm -1 cm 
1  0.0663583 eV   0 eV   neutron  24.6735 cm 1.13397 cm -1 cm 
1  0.0371867 eV   0 eV   neutron  11.912 cm 42.3155 cm -1 cm 
1  0.0273823 eV   0 eV   neutron  6.31937 cm -9.60289 cm -1 cm 
1  0.0296596 eV   0 eV   neutron  28.9281 cm -26.3091 cm -1 cm 
1  0.0272613 eV   0 eV   neutron  -16.0573 cm -34.1296 cm -1 cm 
1  0.0377713 eV   0 eV   neutron  23.0595 cm -13.3359 cm -1 cm 
1  0.0115677 eV   0 eV   neutron  15.0381 cm 22.2486 cm -1 cm 
