# eventID	energy_keV
    3357	1063.655
    3357	569.697
    3357	75.250
    3357	10.551
    3358	569.697
    3358	75.250
    3359	1063.655
    3359	569.697
    3359	10.551
    3360	1063.655
    3360	569.697
    3360	85.235
    3361	1063.655
    3361	569.697
    3361	84.741
    3362	1063.655
    3362	569.697
    3362	75.250
    3363	85.235
    3363	569.697
    3363	75.250
    3363	10.551
    3364	1063.655
    3364	569.697
    3365	1063.655
    3365	73.039
    3366	569.697
    3366	75.250
    3367	85.236
    3367	569.697
    3367	75.250
    3368	1063.655
    3368	241.155
    3368	75.250
    3369	1063.655
    3369	10.445
    3369	10.551
    3370	1063.655
    3370	569.697
    3370	2.442
    3370	2.341
    3371	1063.655
    3371	569.697
    3372	1063.655
    3372	569.697
    3372	73.039
    3373	1770.215
    3373	569.697
    3374	569.697
    3374	70.683
    3375	75.250
    3375	569.697
    3375	73.039
    3376	1063.655
    3376	569.697
    3376	73.039
    3377	1063.655
    3377	569.697
    3377	73.039
    3377	12.656
    3378	1063.655
    3378	569.697
    3378	75.250
    3378	9.216
    3379	73.039
    3379	569.697
    3379	73.039
    3379	12.656
    3380	1063.655
    3380	569.697
    3381	569.697
    3382	885.172
    3382	569.697
    3382	75.250
    3383	1063.655
    3383	569.697
    3383	75.250
    3384	569.697
    3384	73.039
    3385	1063.655
    3385	569.697
    3386	85.236
    3386	569.697
    3386	10.551
    3387	1063.655
    3387	569.697
    3387	10.551
    3388	569.697
    3388	1.839
    3389	1063.655
    3389	569.697
    3389	75.250
    3389	10.551
    3390	1063.655
    3390	569.697
    3390	10.445
    3391	1063.655
    3391	569.697
    3392	1063.655
    3392	569.697
    3392	75.250
    3392	10.551
    3393	1063.655
    3393	569.697
    3393	73.039
    3393	12.656
    3394	1063.655
    3394	569.697
    3394	73.039
    3395	1063.655
    3395	569.697
    3395	73.039
    3395	12.656
    3396	73.039
    3396	569.697
    3397	1063.655
    3397	569.697
    3397	73.039
    3397	12.656
    3398	1063.655
    3398	569.697
    3398	85.236
    3399	569.697
